0 ['reuse', 'reliability', 'will']
1 ['reliability', 'will', 'launch']
2 ['will', 'launch', 'future']
3 ['launch', 'future', 'study']
4 ['future', 'study', 'says']
5 ['study', 'says', '09.02.11']
6 ['says', '09.02.11', 'driving']
7 ['09.02.11', 'driving', 'down']
8 ['driving', 'down', 'the']
9 ['down', 'the', 'price']
10 ['the', 'price', 'of']
11 ['price', 'of', 'taking']
12 ['of', 'taking', 'people']
13 ['taking', 'people', 'and']
14 ['people', 'and', 'cargo']
15 ['and', 'cargo', 'into']
16 ['cargo', 'into', 'space']
17 ['into', 'space', 'or']
18 ['space', 'or', 'to']
19 ['or', 'to', 'the']
20 ['to', 'the', 'other']
21 ['the', 'other', 'side']
22 ['other', 'side', 'of']
23 ['side', 'of', 'the']
24 ['of', 'the', 'world']
25 ['the', 'world', 'in']
26 ['world', 'in', 'two']
27 ['in', 'two', 'hours']
28 ['two', 'hours', 'will']
29 ['hours', 'will', 'depend']
30 ['will', 'depend', 'on']
31 ['depend', 'on', 'developing']
32 ['on', 'developing', 'a']
33 ['developing', 'a', 'system']
34 ['a', 'system', 'so']
35 ['system', 'so', 'reliable']
36 ['so', 'reliable', 'and']
37 ['reliable', 'and', 'reusable']
38 ['and', 'reusable', 'that']
39 ['reusable', 'that', 'a']
40 ['that', 'a', 'thousand']
41 ['a', 'thousand', 'flights']
42 ['thousand', 'flights', 'or']
43 ['flights', 'or', 'more']
44 ['or', 'more', 'can']
45 ['more', 'can', 'take']
46 ['can', 'take', 'place']
47 ['take', 'place', 'in']
48 ['place', 'in', 'a']
49 ['in', 'a', 'year']
50 ['a', 'year', 'a']
51 ['year', 'a', 'space']
52 ['a', 'space', 'launch']
53 ['space', 'launch', 'expert']
54 ['launch', 'expert', 'told']
55 ['expert', 'told', 'a']
56 ['told', 'a', 'group']
57 ['a', 'group', 'of']
58 ['group', 'of', 'engineers']
59 ['of', 'engineers', 'and']
60 ['engineers', 'and', 'others']
61 ['and', 'others', 'aug']
62 ['others', 'aug', '31']
63 ['aug', '31', 'at']
64 ['31', 'at', 'nasas']
65 ['at', 'nasas', 'kennedy']
66 ['nasas', 'kennedy', 'space']
67 ['kennedy', 'space', 'center']
68 ['space', 'center', 'its']
69 ['center', 'its', 'not']
70 ['its', 'not', 'a']
71 ['not', 'a', 'launch']
72 ['a', 'launch', 'scenario']
73 ['launch', 'scenario', 'envisioned']
74 ['scenario', 'envisioned', 'for']
75 ['envisioned', 'for', 'the']
76 ['for', 'the', 'immediate']
77 ['the', 'immediate', 'future']
78 ['immediate', 'future', 'but']
79 ['future', 'but', 'it']
80 ['but', 'it', 'could']
81 ['it', 'could', 'develop']
82 ['could', 'develop', 'in']
83 ['develop', 'in', 'the']
84 ['in', 'the', 'decades']
85 ['the', 'decades', 'afterward']
86 ['decades', 'afterward', 'jay']
87 ['afterward', 'jay', 'penn']
88 ['jay', 'penn', 'of']
89 ['penn', 'of', 'los']
90 ['of', 'los', 'angeles-based']
91 ['los', 'angeles-based', 'the']
92 ['angeles-based', 'the', 'aerospace']
93 ['the', 'aerospace', 'corporation']
94 ['aerospace', 'corporation', 'said']
95 ['corporation', 'said', 'during']
96 ['said', 'during', 'his']
97 ['during', 'his', 'beyond']
98 ['his', 'beyond', 'next']
99 ['beyond', 'next', 'generation']
100 ['next', 'generation', 'access']
101 ['generation', 'access', 'to']
102 ['access', 'to', 'space']
103 ['to', 'space', 'presentation']
104 ['space', 'presentation', 'the']
105 ['presentation', 'the', 'company']
106 ['the', 'company', 'studied']
107 ['company', 'studied', 'potential']
108 ['studied', 'potential', 'business']
109 ['potential', 'business', 'cases']
110 ['business', 'cases', 'for']
111 ['cases', 'for', 'pursuing']
112 ['for', 'pursuing', 'different']
113 ['pursuing', 'different', 'launch']
114 ['different', 'launch', 'strategies']
115 ['launch', 'strategies', 'the']
116 ['strategies', 'the', 'cost']
117 ['the', 'cost', 'of']
118 ['cost', 'of', 'taking']
119 ['of', 'taking', 'a']
120 ['taking', 'a', 'pound']
121 ['a', 'pound', 'of']
122 ['pound', 'of', 'anything']
123 ['of', 'anything', 'into']
124 ['anything', 'into', 'space']
125 ['into', 'space', 'ran']
126 ['space', 'ran', 'about']
127 ['ran', 'about', '$10000']
128 ['about', '$10000', 'aboard']
129 ['$10000', 'aboard', 'the']
130 ['aboard', 'the', 'space']
131 ['the', 'space', 'shuttle']
132 ['space', 'shuttle', 'but']
133 ['shuttle', 'but', 'that']
134 ['but', 'that', 'price']
135 ['that', 'price', 'tag']
136 ['price', 'tag', 'would']
137 ['tag', 'would', 'fall']
138 ['would', 'fall', 'dramatically']
139 ['fall', 'dramatically', 'if']
140 ['dramatically', 'if', 'space']
141 ['if', 'space', 'agencies']
142 ['space', 'agencies', 'and']
143 ['agencies', 'and', 'companies']
144 ['and', 'companies', 'model']
145 ['companies', 'model', 'their']
146 ['model', 'their', 'research']
147 ['their', 'research', 'on']
148 ['research', 'on', 'developing']
149 ['on', 'developing', 'launch']
150 ['developing', 'launch', 'systems']
151 ['launch', 'systems', 'on']
152 ['systems', 'on', 'the']
153 ['on', 'the', 'commercial']
154 ['the', 'commercial', 'airline']
155 ['commercial', 'airline', 'and']
156 ['airline', 'and', 'air']
157 ['and', 'air', 'cargo']
158 ['air', 'cargo', 'industries']
159 ['cargo', 'industries', 'penn']
160 ['industries', 'penn', 'said']
161 ['penn', 'said', 'commercial']
162 ['said', 'commercial', 'aircraft']
163 ['commercial', 'aircraft', 'operate']
164 ['aircraft', 'operate', 'at']
165 ['operate', 'at', '$2']
166 ['at', '$2', 'to']
167 ['$2', 'to', '$3']
168 ['to', '$3', 'per']
169 ['$3', 'per', 'pound']
170 ['per', 'pound', 'of']
171 ['pound', 'of', 'payload']
172 ['of', 'payload', 'around']
173 ['payload', 'around', 'the']
174 ['around', 'the', 'world']
175 ['the', 'world', 'but']
176 ['world', 'but', 'space']
177 ['but', 'space', 'is']
178 ['space', 'is', '5000']
179 ['is', '5000', 'times']
180 ['5000', 'times', 'that']
181 ['times', 'that', 'penn']
182 ['that', 'penn', 'said']
183 ['penn', 'said', 'getting']
184 ['said', 'getting', 'the']
185 ['getting', 'the', 'space']
186 ['the', 'space', 'transportation']
187 ['space', 'transportation', 'business']
188 ['transportation', 'business', 'down']
189 ['business', 'down', 'to']
190 ['down', 'to', 'that']
191 ['to', 'that', 'cost']
192 ['that', 'cost', 'means']
193 ['cost', 'means', 'building']
194 ['means', 'building', 'vehicles']
195 ['building', 'vehicles', 'that']
196 ['vehicles', 'that', 'are']
197 ['that', 'are', 'designed']
198 ['are', 'designed', 'for']
199 ['designed', 'for', 'operability']
200 ['for', 'operability', 'that']
201 ['operability', 'that', 'is']
202 ['that', 'is', 'much']
203 ['is', 'much', 'less']
204 ['much', 'less', 'maintenance']
205 ['less', 'maintenance', 'between']
206 ['maintenance', 'between', 'flights']
207 ['between', 'flights', 'with']
208 ['flights', 'with', 'rapid']
209 ['with', 'rapid', 'turnaround']
210 ['rapid', 'turnaround', 'to']
211 ['turnaround', 'to', 'support']
212 ['to', 'support', 'much']
213 ['support', 'much', 'higher']
214 ['much', 'higher', 'flight']
215 ['higher', 'flight', 'rates']
216 ['flight', 'rates', 'evolving']
217 ['rates', 'evolving', 'systems']
218 ['evolving', 'systems', 'that']
219 ['systems', 'that', 'deliver']
220 ['that', 'deliver', 'people']
221 ['deliver', 'people', 'and']
222 ['and', 'cargo', 'to']
223 ['cargo', 'to', 'anywhere']
224 ['to', 'anywhere', 'on']
225 ['anywhere', 'on', 'the']
226 ['on', 'the', 'planet']
227 ['the', 'planet', 'in']
228 ['planet', 'in', 'less']
229 ['in', 'less', 'than']
230 ['less', 'than', 'two']
231 ['than', 'two', 'hours']
232 ['two', 'hours', 'for']
233 ['hours', 'for', 'example']
234 ['for', 'example', 'will']
235 ['example', 'will', 'need']
236 ['will', 'need', 'to']
237 ['need', 'to', 'make']
238 ['to', 'make', 'multiple']
239 ['make', 'multiple', 'trips']
240 ['multiple', 'trips', 'in']
241 ['trips', 'in', 'the']
242 ['in', 'the', 'same']
243 ['the', 'same', 'day']
244 ['same', 'day', 'and']
245 ['day', 'and', 'operate']
246 ['and', 'operate', 'out']
247 ['operate', 'out', 'of']
248 ['out', 'of', 'three']
249 ['of', 'three', 'or']
250 ['three', 'or', 'more']
251 ['or', 'more', 'hubs']
252 ['more', 'hubs', 'around']
253 ['hubs', 'around', 'the']
254 ['the', 'world', 'his']
255 ['world', 'his', 'study']
256 ['his', 'study', 'has']
257 ['study', 'has', 'shown']
258 ['has', 'shown', 'that']
259 ['shown', 'that', 'some']
260 ['that', 'some', 'new']
261 ['some', 'new', 'applications']
262 ['new', 'applications', 'could']
263 ['applications', 'could', 'emerge']
264 ['could', 'emerge', 'in']
265 ['emerge', 'in', 'the']
266 ['in', 'the', 'coming']
267 ['the', 'coming', 'years']
268 ['coming', 'years', 'to']
269 ['years', 'to', 'accelerate']
270 ['to', 'accelerate', 'the']
271 ['accelerate', 'the', 'demand']
272 ['the', 'demand', 'for']
273 ['demand', 'for', 'frequent']
274 ['for', 'frequent', 'and']
275 ['frequent', 'and', 'lower']
276 ['and', 'lower', 'cost']
277 ['lower', 'cost', 'access']
278 ['cost', 'access', 'to']
279 ['to', 'space', 'in']
280 ['space', 'in', 'fact']
281 ['in', 'fact', 'the']
282 ['fact', 'the', 'development']
283 ['the', 'development', 'of']
284 ['development', 'of', 'such']
285 ['of', 'such', 'reusable']
286 ['such', 'reusable', 'and']
287 ['reusable', 'and', 'operable']
288 ['and', 'operable', 'systems']
289 ['operable', 'systems', 'will']
290 ['systems', 'will', 'require']
291 ['will', 'require', 'the']
292 ['require', 'the', 'promise']
293 ['the', 'promise', 'of']
294 ['promise', 'of', 'higher']
295 ['of', 'higher', 'demand']
296 ['higher', 'demand', 'to']
297 ['demand', 'to', 'justify']
298 ['to', 'justify', 'their']
299 ['justify', 'their', 'development']
300 ['their', 'development', 'among']
