Word	df
a	40
and	40
for	40
in	40
is	40
of	40
that	40
the	40
to	40
be	39
with	39
at	38
has	37
it	37
on	37
an	36
are	36
by	36
have	36
this	36
as	35
from	35
they	35
was	34
but	32
can	32
said	32
also	31
new	31
which	31
or	29
other	29
these	29
we	29
first	28
than	28
their	28
could	27
more	27
not	27
so	27
been	26
its	26
only	25
were	25
time	24
two	24
about	23
one	23
research	23
researchers	23
team	23
university	22
even	21
may	21
now	21
our	21
study	21
use	21
who	21
will	21
because	20
how	20
into	20
out	20
scientists	20
when	20
years	20
like	19
some	19
such	19
them	19
used	19
after	18
all	18
if	18
just	18
most	18
there	18
those	18
what	18
where	18
both	17
called	17
much	17
up	17
using	17
very	17
around	16
between	16
had	16
journal	16
next	16
published	16
while	16
would	16
important	15
laboratory	15
professor	15
results	15
through	15
you	15
able	14
aug	14
including	14
many	14
no	14
science	14
september	14
then	14
way	14
work	14
according	13
do	13
find	13
likely	13
pm	13
show	13
still	13
any	12
being	12
department	12
get	12
key	12
known	12
make	12
possible	12
same	12
several	12
space	12
well	12
world	12
year	12
before	11
early	11
energy	11
far	11
found	11
group	11
he	11
help	11
national	11
nature	11
problem	11
showed	11
structure	11
times	11
under	11
working	11
back	10
cells	10
create	10
data	10
developed	10
different	10
dont	10
down	10
his	10
institute	10
lead	10
led	10
less	10
material	10
might	10
number	10
over	10
paper	10
part	10
pdt	10
sciencedaily	10
second	10
similar	10
since	10
small	10
surface	10
system	10
us	10
without	10
august	9
better	9
carbon	9
center	9
development	9
device	9
didnt	9
discovered	9
during	9
each	9
earth	9
example	9
form	9
here	9
high	9
human	9
kind	9
large	9
long	9
natural	9
need	9
off	9
percent	9
previously	9
range	9
right	9
see	9
solar	9
systems	9
technology	9
water	9
within	9
against	8
another	8
approach	8
author	8
case	8
cell	8
conditions	8
devices	8
did	8
director	8
does	8
enough	8
few	8
finding	8
gas	8
generation	8
however	8
i	8
issue	8
know	8
least	8
look	8
made	8
model	8
nasas	8
online	8
people	8
performance	8
properties	8
recent	8
school	8
scientific	8
take	8
things	8
unique	8
why	8
although	7
am	7
among	7
atoms	7
become	7
collaboration	7
colleagues	7
come	7
company	7
computer	7
current	7
currently	7
dr	7
engineering	7
expected	7
experiments	7
faster	7
findings	7
four	7
future	7
going	7
good	7
last	7
light	7
longer	7
looking	7
materials	7
million	7
nasa	7
once	7
own	7
point	7
potential	7
power	7
powerful	7
present	7
process	7
project	7
real	7
result	7
san	7
says	7
seen	7
shown	7
single	7
state	7
studies	7
test	7
think	7
today	7
top	7
understanding	7
want	7
week	7
weve	7
yet	7
already	6
apple	6
associate	6
became	6
best	6
biology	6
body	6
building	6
change	6
changes	6
companies	6
created	6
creating	6
critical	6
discovery	6
electrical	6
